,uid,タイトル字数,タイトル語数,タイトル名詞数,原稿字数,原稿語数,原稿異なり語数,原稿名詞数,原稿異なり名詞数,原稿文数,文平均字数,文平均語数,文平均名詞数
191,sj_b41f3ebec4370ee4,9,2,2,501.0,217.0,146.0,136.0,104.0,37.0,12.567567567567568,5.864864864864865,3.675675675675676
192,sj_62bf6f6141eac7ce,21,9,5,1181.0,494.0,278.0,305.0,213.0,71.0,15.647887323943662,6.943661971830986,4.28169014084507
227,sj_af20b13d6e8a3f5a,17,5,4,1268.0,682.0,297.0,298.0,188.0,58.0,20.879310344827587,11.758620689655173,5.155172413793103
228,sj_e5e5a1eae975c3b8,20,5,4,1046.0,480.0,245.0,297.0,197.0,75.0,12.96,6.4,3.96
237,sj_65bbb609b1c21711,32,14,9,1429.0,749.0,303.0,371.0,223.0,54.0,25.48148148148148,13.87037037037037,6.87037037037037
238,sj_34efc98b89929288,19,6,5,2332.0,1172.0,432.0,497.0,283.0,95.0,23.557894736842105,12.336842105263157,5.242105263157895
239,sj_67120c59ac3a443b,53,17,12,944.0,422.0,237.0,202.0,159.0,52.0,17.173076923076923,8.115384615384615,3.8846153846153846
251,sj_a26c96421454ee3d,29,12,5,1610.0,756.0,345.0,443.0,269.0,99.0,15.272727272727273,7.636363636363637,4.474747474747475
253,sj_6f3a8326750af007,18,5,3,2292.0,1100.0,418.0,494.0,280.0,101.0,21.702970297029704,10.792079207920793,4.8316831683168315
254,sj_c0321128a2f3c611,31,13,7,1272.0,593.0,286.0,327.0,207.0,87.0,13.632183908045977,6.816091954022989,3.7701149425287355
255,sj_11182b61d12f3cee,9,4,3,1451.0,675.0,304.0,358.0,218.0,81.0,16.925925925925927,8.333333333333334,4.419753086419753
257,sj_c3487d10f1b5b9df,31,12,8,5543.0,2860.0,864.0,1197.0,614.0,148.0,36.45945945945946,19.324324324324323,8.08108108108108
258,sj_d0aad294e6f542f1,24,11,9,708.0,346.0,170.0,217.0,138.0,42.0,15.880952380952381,8.238095238095237,5.166666666666667
259,sj_93a21817dff40508,14,5,3,3105.0,1570.0,536.0,641.0,353.0,109.0,27.495412844036696,14.403669724770642,5.8807339449541285
263,sj_6fd9626694e7ca79,20,8,7,893.0,436.0,232.0,231.0,168.0,63.0,13.19047619047619,6.920634920634921,3.6666666666666665
